Location,Type of ownership,Rating,Salary,State,Cost of Living Index,Adjusted salary,abbrv,overall_rank,Adjusted salary rank,Combined rank
"Seattle, WA",Unknown,-1.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Unknown,-1.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Unknown,-1.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Company - Private,4.6,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Company - Private,5.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Company - Private,3.5,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Nonprofit Organization,4.6,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Nonprofit Organization,3.9,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Company - Private,4.5,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Unknown,-1.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Company - Private,3.4,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",College / University,4.1,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Unknown,-1.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Unknown,-1.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Unknown,-1.0,78000.0,WA,1.246,62600,WA,3,0.4348794063079777,3.434879406307978
"Seattle, WA",Company - Private,3.3,51000.0,WA,1.246,40930,WA,3,0.8460111317254174,3.8460111317254175
"Seattle, WA",Company - Private,4.3,51000.0,WA,1.246,40930,WA,3,0.8460111317254174,3.8460111317254175
"Seattle, WA",Company - Private,3.0,51000.0,WA,1.246,40930,WA,3,0.8460111317254174,3.8460111317254175
"Seattle, WA",Company - Private,3.5,51000.0,WA,1.246,40930,WA,3,0.8460111317254174,3.8460111317254175
"Seattle, WA",Unknown,-1.0,51000.0,WA,1.246,40930,WA,3,0.8460111317254174,3.8460111317254175
